c_msgsize_count,c_pktsize6,c_msgsize4,s_msgsize4,s_pktsize2,s_rtt_cnt,s_rtt_std,s_msgsize5,c_msgsize6,c_sit3,class
1,0,0,0,1418,1,0.0,0,0,0.0,google
20,730,1706,1429,1429,2,0.0,1429,810,2007.541,google
2,0,0,56,1430,1,0.0,42,0,0.0,google
2,0,0,56,1430,1,0.0,42,0,0.0,google
2,0,0,56,1430,1,0.0,42,0,0.0,google
2,0,0,42,1430,1,0.0,0,0,0.0,google
2,0,0,56,1430,1,0.0,42,0,0.0,google
1,0,0,0,1228,1,0.0,0,0,0.0,google
3,0,0,0,1418,4,36.919958,0,0,7.841,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
0,0,0,0,0,2,0.0,0,0,0.0,google
10,30,42,48,1418,2,0.0,34,30,12.787,google
8,30,42,48,1418,2,0.0,34,30,2.369,google
8,1406,42,48,1418,1,0.0,34,1406,2.15,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
4,1,1125,533,1430,4,58.912196,0,0,27253.638,google
4,30,68,34,1390,1,0.0,30,0,2295.307,google
3,0,0,869,1418,3,20.174925,101,0,0.0,google
17,46,976,42,1430,3,1.325038,38,46,9.38,google
9,1418,1400,5707,1418,7,1.644257,20,2081,6.372,google
17,532,50,38,56,2,0.0,332,532,2.972,google
2,0,0,0,488,3,1.261184,0,0,0.0,google
12,30,42,48,1430,1,0.0,34,30,2.15,google
1,0,0,0,1418,2,0.0,0,0,0.0,google
1,0,0,0,1348,1,0.0,0,0,0.0,google
2,0,0,48,1418,1,0.0,34,0,0.0,google
2,0,0,0,764,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
10,299,69,1413,1418,4,70.525276,1413,1445,1.924,google
0,0,0,0,0,1,0.0,0,0,0.0,google
0,0,0,0,0,0,0.0,0,0,0.0,google
0,0,0,0,0,0,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
2,0,0,0,588,1,0.0,0,0,0.0,google
10,30,42,48,1418,2,0.0,34,30,12.077,google
8,38,50,42,1418,2,0.0,38,38,2.236,google
6,30,76,48,1348,2,0.0,34,38,1.304,google
1,0,0,0,0,3,59.92234,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,1,0,0,494,3,118.108385,0,0,45123.741,google
1,0,0,0,1418,0,0.0,0,0,0.0,google
32,927,37,266,49,5,28.932189,29,927,2.094,google
1,0,0,0,0,3,9.922757,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
0,0,0,0,0,1,0.0,0,0,0.0,google
98,30,42,48,1430,9,17.326121,34,30,1.649,google
15,1418,42,48,1418,4,3.019522,34,2003,9.945,google
8,30,42,48,1418,2,0.0,34,30,1.299,google
51,1080,37,49,1418,9,11.429192,37,33,1.29,google
8,1418,42,48,1418,2,0.0,34,1857,2.664,google
1,0,0,0,1418,0,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
13,46,950,42,1430,2,0.0,38,46,15.663,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
5,0,200,637,637,6,42.653851,637,0,278.405,google
2,0,0,270,588,2,0.0,82,0,0.0,google
2,0,0,270,588,2,0.0,82,0,0.0,google
2,0,0,48,588,2,0.0,34,0,0.0,google
2,0,0,82,588,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
65,174,1046,38,56,2,0.0,274,174,18.064,google
8,30,42,48,1418,1,0.0,34,30,2.1,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,1418,42,48,1418,1,0.0,34,1621,1.174,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
0,0,0,0,0,1,0.0,0,0,0.0,google
1,0,0,0,1418,0,0.0,0,0,0.0,google
2,0,0,0,0,3,1.650242,0,0,0.0,google
1,0,0,0,1406,1,0.0,0,0,0.0,google
5,1418,3599,1413,1418,4,17.64158,1413,0,5.027,google
8,1418,42,48,1418,1,0.0,34,1606,2.151,google
8,1418,42,48,1418,1,0.0,34,1572,1.937,google
12,38,50,38,56,3,1.89789,46,38,2.185,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,217,42,48,1418,1,0.0,34,217,1.091,google
18,107,38,38,56,2,0.0,253,107,122.321,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
24,652,42,48,1418,2,0.0,34,652,3.1,google
1,0,0,14180,1418,1,0.0,26411,0,0.0,google
219,1345,50,38,56,15,21.093584,324,1345,1.973,google
2,0,0,0,1418,2,0.0,0,0,0.0,google
1,0,0,0,0,2,0.0,0,0,0.0,google
0,0,0,0,0,2,0.0,0,0,0.0,google
8,721,721,614,1418,4,23.590489,20,1393,502.034,google
8,275,42,48,1418,2,0.0,34,275,2.688,google
0,0,0,0,0,1,0.0,0,0,0.0,google
2,0,0,48,1430,2,0.0,34,0,0.0,google
2,0,0,48,1430,1,0.0,34,0,0.0,google
2,0,0,48,1430,1,0.0,34,0,0.0,google
2,0,0,48,1430,1,0.0,34,0,0.0,google
2,0,0,48,1430,1,0.0,34,0,0.0,google
35,38,50,38,56,5,9.124542,355,38,2.681,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,30,42,48,1418,2,0.0,34,30,2.63,google
8,30,42,48,1418,1,0.0,34,30,2.212,google
8,1418,42,48,1418,2,0.0,34,1764,2.159,google
1,0,0,14180,1418,1,0.0,0,0,0.0,google
1,0,0,0,0,3,0.327726,0,0,0.0,google
2,0,0,48,1418,1,0.0,34,0,0.0,google
2,0,0,48,1418,2,0.0,34,0,0.0,google
2,0,0,34,1418,2,0.0,0,0,0.0,google
2,0,0,48,1418,2,0.0,34,0,0.0,google
2,0,0,48,1418,2,0.0,34,0,0.0,google
2,0,0,34,1418,2,0.0,0,0,0.0,google
18,38,50,38,56,4,24.64106,46,38,2.642,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,0,0.0,0,0,0.0,google
8,30,42,48,1418,1,0.0,34,30,2.216,google
8,38,50,56,1418,2,0.0,42,38,2.117,google
3,0,0,5793,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
55,50,45,42,1418,1,0.0,38,50,2.115,google
8,1418,42,48,1418,2,0.0,34,1658,2.28,google
2,0,0,0,48,3,9.969758,0,0,0.0,google
204,1418,42,48,1418,2,0.0,34,1650,1.156,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,0,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
2,0,0,0,0,3,11.661785,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
2,0,0,34,1418,1,0.0,0,0,0.0,google
14,46,38,42,1418,2,0.0,38,46,42.539,google
0,0,0,0,0,1,0.0,0,0,0.0,google
36,50,45,56,1418,3,46.352725,42,50,2.122,google
1,0,0,0,1418,0,0.0,0,0,0.0,google
8,1418,42,30,48,3,2.710329,222,1431,19.161,google
